Area,Total Gross,Average Gross,Opening Wknd Avg.
Ecuador,"$22,180,933 (14)","$1,584,352 (14)","$674,095 (10)"
Hungary,"$21,258,729 (17)","$1,250,513 (17)","$505,356 (14)"
Vietnam,"$19,298,234 (5)","$3,859,647 (5)","$1,796,760 (3)"
Israel,"$15,311,138 (12)","$1,275,928 (12)","$430,910 (9)"
Bolivia,"$14,698,148 (16)","$918,634 (16)","$289,153 (15)"
Romania,"$11,896,515 (13)","$915,117 (13)","$494,384 (6)"
Russia,"$8,672,930 (1)","$8,672,930 (1)",—
Bulgaria,"$7,410,770 (17)","$435,928 (17)","$126,901 (16)"
Egypt,"$7,173,238 (14)","$512,374 (14)","$126,551 (9)"
Slovakia,"$7,088,607 (15)","$472,574 (15)","$203,170 (13)"
Croatia,"$5,321,008 (16)","$332,563 (16)","$142,049 (11)"
Iceland,"$4,988,488 (22)","$226,749 (22)","$84,191 (16)"
Uruguay,"$4,971,704 (18)","$276,206 (18)","$99,881 (17)"
Switzerland (German),"$4,614,372 (3)","$1,538,124 (3)","$555,431 (3)"
Lebanon,"$3,841,806 (19)","$202,200 (19)","$63,004 (18)"
Paraguay,"$2,984,786 (3)","$994,929 (3)","$387,496 (3)"
Slovenia,"$2,788,675 (15)","$185,912 (15)","$51,487 (15)"
Kuwait,"$2,685,523 (3)","$895,174 (3)",—
Serbia and Montenegro,"$2,562,095 (17)","$150,711 (17)","$23,629 (12)"
Central America+,"$2,478,001 (2)","$1,239,001 (2)",—
Nigeria,"$2,370,234 (9)","$263,359 (9)","$115,581 (8)"
Lithuania,"$2,290,609 (12)","$190,884 (12)","$72,860 (11)"
Switzerland (French),"$2,060,052 (2)","$1,030,026 (2)","$393,515 (2)"
South Africa/Nigeria,"$1,876,250 (2)","$938,125 (2)",—
Bahrain,"$1,232,294 (3)","$410,765 (3)","$319,153 (1)"
Panama,"$1,189,155 (2)","$594,578 (2)",—
East Africa,"$1,144,595 (10)","$114,460 (10)","$31,451 (8)"
Qatar,"$1,102,206 (1)","$1,102,206 (1)",—
Czech Republic/Slovakia,"$1,096,393 (3)","$365,464 (3)",—
Latvia,"$1,068,351 (8)","$133,544 (8)","$40,141 (8)"
Estonia,"$987,718 (8)","$123,465 (8)","$45,893 (8)"
Trinidad & Tobago,"$870,753 (1)","$870,753 (1)","$244,860 (1)"
Dominican Republic,"$779,671 (1)","$779,671 (1)","$241,398 (1)"
Jordan,"$715,160 (3)","$238,387 (3)","$134,455 (1)"
Middle East Other,"$667,126 (1)","$667,126 (1)",—
Pakistan,"$665,551 (1)","$665,551 (1)","$251,478 (1)"
Kenya,"$598,046 (3)","$199,349 (3)","$156,523 (1)"
Oman,"$359,221 (1)","$359,221 (1)","$286,417 (1)"
Jamaica,"$297,261 (1)","$297,261 (1)",—
Ghana,"$126,054 (5)","$25,211 (5)","$10,282 (4)"
Cyprus,"$125,668 (2)","$62,834 (2)",—
Mongolia,"$100,575 (1)","$100,575 (1)",—
Central America,"$12,705 (1)","$12,705 (1)",—
